model,condition,seed,csv_path,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,mttd_mean,mttd_std,nmr_mean,nmr_std
RB,baseline,42,,,,,,,,,,,,,
RB,moderate,42,,,,,,,,,,,,,
RB,severe,42,,,,,,,,,,,,,
BF,baseline,42,,,,,,,,,,,,,
BF,moderate,42,,,,,,,,,,,,,
BF,severe,42,,,,,,,,,,,,,
DS,baseline,42,,,,,,,,,,,,,
DS,moderate,42,,,,,,,,,,,,,
DS,severe,42,,,,,,,,,,,,,
XGB,baseline,42,,,,,,,,,,,,,
XGB,moderate,42,,,,,,,,,,,,,
XGB,severe,42,,,,,,,,,,,,,
SMLP,baseline,42,,,,,,,,,,,,,
SMLP,moderate,42,,,,,,,,,,,,,
SMLP,severe,42,,,,,,,,,,,,,
TS,baseline,42,,,,,,,,,,,,,
TS,moderate,42,,,,,,,,,,,,,
TS,severe,42,,,,,,,,,,,,,
HB,baseline,42,,,,,,,,,,,,,
HB,moderate,42,,,,,,,,,,,,,
HB,severe,42,,,,,,,,,,,,,
